Anno;Causa di morte;Classe eta;Numero decessi;miovalore;logic                                                                                                                                           
2002;Aids;85 anni e oltre;0;16;0                                                                                                                                                                        
2002;Aids;da 0 a 19 anni;0;19;0                                                                                                                                                                         
2002;Aids;da 20 a 34 anni;0;14;0                                                                                                                                                                        
2002;Aids;da 35 a 49 anni;1;18;0                                                                                                                                                                        
2002;Aids;da 50 a 59 anni;0;17;0                                                                                                                                                                        
2002;Aids;da 60 a 69 anni;0;17;0                                                                                                                                                                        
2002;Aids;da 70 a 74 anni;0;17;0                                                                                                                                                                        
2002;Aids;da 75 a 79 anni;0;18;0                                                                                                                                                                        
2002;Aids;da 80 a 84 anni;0;18;0                                                                                                                                                                        
2002;altre malattie del sistema circolatorio;85 anni e oltre;263;17;0                                                                                                                                   
2002;altre malattie del sistema circolatorio;da 0 a 19 anni;0;17;0                                                                                                                                      
2002;altre malattie del sistema circolatorio;da 20 a 34 anni;1;17;0                                                                                                                                     
2002;altre malattie del sistema circolatorio;da 35 a 49 anni;0;18;0                                                                                                                                     
2002;altre malattie del sistema circolatorio;da 50 a 59 anni;1;18;0                                                                                                                                     
2002;altre malattie del sistema circolatorio;da 60 a 69 anni;17;18;0                                                                                                                                    
2002;altre malattie del sistema circolatorio;da 70 a 74 anni;14;17;0                                                                                                                                    
2002;altre malattie del sistema circolatorio;da 75 a 79 anni;28;17;0                                                                                                                                    
2002;altre malattie del sistema circolatorio;da 80 a 84 anni;66;18;0                                                                                                                                    
2002;altre malattie dell'apparato digerente;85 anni e oltre;41;18;0                                                                                                                                     
2002;altre malattie dell'apparato digerente;da 0 a 19 anni;0;18;0                                                                                                                                       
2002;altre malattie dell'apparato digerente;da 20 a 34 anni;0;17;0                                                                                                                                      
2002;altre malattie dell'apparato digerente;da 35 a 49 anni;1;17;0                                                                                                                                      
2002;altre malattie dell'apparato digerente;da 50 a 59 anni;3;17;0                                                                                                                                      
2002;altre malattie dell'apparato digerente;da 60 a 69 anni;4;19;0                                                                                                                                      
2002;altre malattie dell'apparato digerente;da 70 a 74 anni;10;19;0                                                                                                                                     
2002;altre malattie dell'apparato digerente;da 75 a 79 anni;11;16;0                                                                                                                                     
2002;altre malattie dell'apparato digerente;da 80 a 84 anni;19;16;0                                                                                                                                     
2002;altre malattie dell'apparato respiratorio;85 anni e oltre;69;17;0                                                                                                                                  
2002;altre malattie dell'apparato respiratorio;da 0 a 19 anni;0;19;0                                                                                                                                    
2002;altre malattie dell'apparato respiratorio;da 20 a 34 anni;0;19;0                                                                                                                                   
2002;altre malattie dell'apparato respiratorio;da 35 a 49 anni;1;19;0                                                                                                                                   
2002;altre malattie dell'apparato respiratorio;da 50 a 59 anni;1;16;0                                                                                                                                   
2002;altre malattie dell'apparato respiratorio;da 60 a 69 anni;2;16;0                                                                                                                                   
2002;altre malattie dell'apparato respiratorio;da 70 a 74 anni;3;16;0                                                                                                                                   
2002;altre malattie dell'apparato respiratorio;da 75 a 79 anni;14;19;0                                                                                                                                  
2002;altre malattie dell'apparato respiratorio;da 80 a 84 anni;18;19;0                                                                                                                                  
2002;altre Malattie endocrine, del metabolismo e immunitarie;85 anni e oltre;11;16;0                                                                                                                    
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 0 a 19 anni;0;16;0                                                                                                                      
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 20 a 34 anni;0;16;0                                                                                                                     
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 35 a 49 anni;0;19;0                                                                                                                     
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 50 a 59 anni;1;19;0                                                                                                                     
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 60 a 69 anni;1;19;0                                                                                                                     
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 70 a 74 anni;1;16;0                                                                                                                     
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 75 a 79 anni;6;16;0                                                                                                                     
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 80 a 84 anni;5;20;0                                                                                                                     
2002;altri Tumori;85 anni e oltre;0;19;0                                                                                                                                                                
2002;altri Tumori;da 0 a 19 anni;2;19;0                                                                                                                                                                 
2002;altri Tumori;da 20 a 34 anni;0;16;0                                                                                                                                                                
2002;altri Tumori;da 35 a 49 anni;0;16;0                                                                                                                                                                
2002;altri Tumori;da 50 a 59 anni;0;16;0                                                                                                                                                                
2002;altri Tumori;da 60 a 69 anni;0;20;0                                                                                                                                                                
2002;altri Tumori;da 70 a 74 anni;0;20;0                                                                                                                                                                
2002;altri Tumori;da 75 a 79 anni;0;15;0                                                                                                                                                                
2002;altri Tumori;da 80 a 84 anni;0;15;0                                                                                                                                                                
2002;Bronchite, enfisema ed asma;85 anni e oltre;42;15;0                                                                                                                                                
2002;Bronchite, enfisema ed asma;da 0 a 19 anni;0;20;0                                                                                                                                                  
2002;Bronchite, enfisema ed asma;da 20 a 34 anni;0;20;0                                                                                                                                                 
2002;Bronchite, enfisema ed asma;da 35 a 49 anni;1;20;0                                                                                                                                                 
2002;Bronchite, enfisema ed asma;da 50 a 59 anni;0;15;0                                                                                                                                                 
2002;Bronchite, enfisema ed asma;da 60 a 69 anni;2;15;0                                                                                                                                                 
2002;Bronchite, enfisema ed asma;da 70 a 74 anni;7;15;0                                                                                                                                                 
2002;Bronchite, enfisema ed asma;da 75 a 79 anni;10;20;0                                                                                                                                                
2002;Bronchite, enfisema ed asma;da 80 a 84 anni;7;20;0                                                                                                                                                 
2002;Cardiopatia ischemica;85 anni e oltre;178;15;0                                                                                                                                                     
2002;Cardiopatia ischemica;da 0 a 19 anni;0;15;0                                                                                                                                                        
2002;Cardiopatia ischemica;da 20 a 34 anni;0;15;0                                                                                                                                                       
2002;Cardiopatia ischemica;da 35 a 49 anni;2;20;0                                                                                                                                                       
2002;Cardiopatia ischemica;da 50 a 59 anni;4;20;0                                                                                                                                                       
2002;Cardiopatia ischemica;da 60 a 69 anni;9;20;0                                                                                                                                                       
2002;Cardiopatia ischemica;da 70 a 74 anni;14;15;0                                                                                                                                                      
2002;Cardiopatia ischemica;da 75 a 79 anni;44;15;0                                                                                                                                                      
2002;Cardiopatia ischemica;da 80 a 84 anni;48;10;0                                                                                                                                                      
2002;Cirrosi epatica;85 anni e oltre;5;10;0                                                                                                                                                             
2002;Cirrosi epatica;da 0 a 19 anni;0;10;0                                                                                                                                                              
2002;Cirrosi epatica;da 20 a 34 anni;2;15;0                                                                                                                                                             
