Anno;Causa di morte;Classe eta;Numero decessi
2002;Aids;85 anni e oltre;0
2002;Aids;da 0 a 19 anni;0
2002;Aids;da 20 a 34 anni;0
2002;Aids;da 35 a 49 anni;1
2002;Aids;da 50 a 59 anni;0
2002;Aids;da 60 a 69 anni;0
2002;Aids;da 70 a 74 anni;0
2002;Aids;da 75 a 79 anni;0
2002;Aids;da 80 a 84 anni;0
2002;altre malattie del sistema circolatorio;85 anni e oltre;263
2002;altre malattie del sistema circolatorio;da 0 a 19 anni;0
2002;altre malattie del sistema circolatorio;da 20 a 34 anni;1
2002;altre malattie del sistema circolatorio;da 35 a 49 anni;0
2002;altre malattie del sistema circolatorio;da 50 a 59 anni;1
2002;altre malattie del sistema circolatorio;da 60 a 69 anni;17
2002;altre malattie del sistema circolatorio;da 70 a 74 anni;14
2002;altre malattie del sistema circolatorio;da 75 a 79 anni;28
2002;altre malattie del sistema circolatorio;da 80 a 84 anni;66
2002;altre malattie dell'apparato digerente;85 anni e oltre;41
2002;altre malattie dell'apparato digerente;da 0 a 19 anni;0
2002;altre malattie dell'apparato digerente;da 20 a 34 anni;0
2002;altre malattie dell'apparato digerente;da 35 a 49 anni;1
2002;altre malattie dell'apparato digerente;da 50 a 59 anni;3
2002;altre malattie dell'apparato digerente;da 60 a 69 anni;4
2002;altre malattie dell'apparato digerente;da 70 a 74 anni;10
2002;altre malattie dell'apparato digerente;da 75 a 79 anni;11
2002;altre malattie dell'apparato digerente;da 80 a 84 anni;19
2002;altre malattie dell'apparato respiratorio;85 anni e oltre;69
2002;altre malattie dell'apparato respiratorio;da 0 a 19 anni;0
2002;altre malattie dell'apparato respiratorio;da 20 a 34 anni;0
2002;altre malattie dell'apparato respiratorio;da 35 a 49 anni;1
2002;altre malattie dell'apparato respiratorio;da 50 a 59 anni;1
2002;altre malattie dell'apparato respiratorio;da 60 a 69 anni;2
2002;altre malattie dell'apparato respiratorio;da 70 a 74 anni;3
2002;altre malattie dell'apparato respiratorio;da 75 a 79 anni;14
2002;altre malattie dell'apparato respiratorio;da 80 a 84 anni;18
2002;altre Malattie endocrine, del metabolismo e immunitarie;85 anni e oltre;11
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 0 a 19 anni;0
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 20 a 34 anni;0
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 35 a 49 anni;0
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 50 a 59 anni;1
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 60 a 69 anni;1
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 70 a 74 anni;1
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 75 a 79 anni;6
2002;altre Malattie endocrine, del metabolismo e immunitarie;da 80 a 84 anni;5
2002;altri Tumori;85 anni e oltre;0
2002;altri Tumori;da 0 a 19 anni;2
2002;altri Tumori;da 20 a 34 anni;0
2002;altri Tumori;da 35 a 49 anni;0
2002;altri Tumori;da 50 a 59 anni;0
2002;altri Tumori;da 60 a 69 anni;0
2002;altri Tumori;da 70 a 74 anni;0
2002;altri Tumori;da 75 a 79 anni;0
2002;altri Tumori;da 80 a 84 anni;0
2002;Bronchite, enfisema ed asma;85 anni e oltre;42
2002;Bronchite, enfisema ed asma;da 0 a 19 anni;0
2002;Bronchite, enfisema ed asma;da 20 a 34 anni;0
2002;Bronchite, enfisema ed asma;da 35 a 49 anni;1
2002;Bronchite, enfisema ed asma;da 50 a 59 anni;0
